model,protocol,split,n_train,n_test,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc,fit_seconds,predict_seconds,predict_us_per_sample
HistGradientBoosting,clean,random_stratified,1527736,381935,88,0.9693665152447406,0.9464571346970384,0.9793602547124733,0.9464571346970384,0.9611884648434821,0.9688228076713349,0.9943597984154792,15.11560537503101,0.30535541707649827,0.7994957704229732
RandomForest,clean,random_stratified,1527736,381935,88,0.9595507088902562,0.9445800739539812,0.9555605083036214,0.9445800739539812,0.9498559103677908,0.9593040352720966,0.9902460934135894,20.59288520901464,0.4448076670523733,1.1646161442454168
DecisionTree,clean,random_stratified,1527736,381935,88,0.9502192781494233,0.9385563137485966,0.9393768218302578,0.9385563137485966,0.9389652774138479,0.950196015873812,0.9445153040296749,6.75819812505506,0.12742674991022795,0.3336346496399334
MLP,clean,random_stratified,1527736,381935,88,0.91409794860382,0.8498153544494853,0.9460748268966671,0.8498153544494853,0.8832262213819106,0.9089550187939374,0.9344743406629875,54.61012745893095,0.1352885840460658,0.3542188698235716
LogisticRegression,clean,random_stratified,1527736,381935,88,0.8948093261942477,0.8242050421456006,0.9193929906273036,0.8242050421456006,0.8562435604872338,0.8881501944197816,0.9170452447512141,4.076204292010516,0.09991812496446073,0.26161028699768474
GaussianNB,clean,random_stratified,1527736,381935,88,0.5202874834723186,0.6641688093938377,0.686606621849435,0.6641688093938377,0.5190285885986721,0.5084842165671799,0.670767610439571,1.8580702500184998,0.2211885410360992,0.5791261367408046
DecisionTree,readme,random_stratified,1527736,381935,95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5429842080920935,0.08733895805198699,0.22867492649793025
RandomForest,readme,random_stratified,1527736,381935,95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.2214802500093356,0.14551229204516858,0.38098705812551503
HistGradientBoosting,readme,random_stratified,1527736,381935,95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.19072429195512,0.1724625830538571,0.4515495648575205
LogisticRegression,readme,random_stratified,1527736,381935,95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2326281670248136,0.08577154099475592,0.22457104217931304
GaussianNB,readme,random_stratified,1527736,381935,95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9703625839902088,0.21983283292502165,0.575576558642234
MLP,readme,random_stratified,1527736,381935,95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.310177417006344,0.14563787495717406,0.38131586515290317
