model,protocol,split,n_train,n_test,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc,fit_seconds,predict_seconds,predict_us_per_sample
HistGradientBoosting,clean,random_stratified,121756,30440,87,0.9749014454664915,0.9209995432769393,0.985205824243895,0.9209995432769393,0.9496452321417208,0.9740134127315357,0.9922432106983329,2.618449207977392,0.037666084012016654,1.2373877796326103
RandomForest,clean,random_stratified,121756,30440,87,0.9651445466491458,0.921940765286456,0.9448192325637436,0.921940765286456,0.9329024262880825,0.9646846216110586,0.9775847488509042,0.658081499976106,0.030206832918338478,0.9923401090124335
DecisionTree,clean,random_stratified,121756,30440,87,0.9597568988173456,0.925056523527716,0.924128398770022,0.925056523527716,0.9245916379558329,0.9597788908504048,0.9252830225349102,0.26821729203220457,0.005887749954126775,0.1934214833813001
MLP,clean,random_stratified,121756,30440,87,0.9095926412614981,0.7316191642291907,0.9134001265308245,0.7316191642291907,0.785673447174256,0.897032612343816,0.9160111273609506,3.4158833329565823,0.011642166995443404,0.38246277908815385
LogisticRegression,clean,random_stratified,121756,30440,87,0.8995072273324572,0.7055837633332361,0.891468774467078,0.7055837633332361,0.7568801661860912,0.8841219792611251,0.8942361185342105,0.22473195800557733,0.006294416030868888,0.206781078543656
GaussianNB,clean,random_stratified,121756,30440,87,0.49678055190538767,0.7008012088584838,0.6194898882740618,0.7008012088584838,0.4798743045565321,0.5439504606892208,0.7784635763359149,0.10443683306220919,0.019994250033050776,0.6568413282868192
DecisionTree,readme,random_stratified,121756,30440,74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05692079209256917,0.004257666994817555,0.13987079483631915
RandomForest,readme,random_stratified,121756,30440,74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2666684159776196,0.026837334036827087,0.8816469788707979
HistGradientBoosting,readme,random_stratified,121756,30440,74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996082124998793,0.016320249997079372,0.5361448750683105
LogisticRegression,readme,random_stratified,121756,30440,74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10275391698814929,0.0045885409926995635,0.15074050567344163
GaussianNB,readme,random_stratified,121756,30440,74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09186624991707504,0.012375166988931596,0.40654293656148477
MLP,readme,random_stratified,121756,30440,74,0.999934296977661,0.999792531120332,0.9999609710405121,0.999792531120332,0.9998767287926285,0.9999342914427908,0.9997929441145889,1.971172416000627,0.010536042042076588,0.346124902827746
