model,protocol,split,n_train,n_test,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc,fit_seconds,predict_seconds,predict_us_per_sample
RandomForest,agriedge,random_stratified,320000,80000,409,0.9986125,0.9988180222658527,0.9983211852913534,0.9988180222658527,0.9985675662172144,0.9986128456688773,0.9999873624520706,2.2459272919222713,0.08924966596532613,1.1156208245665766
MLP,agriedge,random_stratified,320000,80000,409,0.9986125,0.9988134135891737,0.9983256197053918,0.9988134135891737,0.9985675531202709,0.9986128393773291,0.9999828057432405,10.355623333947733,0.08764704200439155,1.0955880250548944
HistGradientBoosting,agriedge,random_stratified,320000,80000,409,0.9986,0.998807415337407,0.9983060708189284,0.998807415337407,0.9985546680150374,0.9986003519564051,0.9999875816208244,12.314953499939293,0.10142516705673188,1.2678145882091485
DecisionTree,agriedge,random_stratified,320000,80000,409,0.9985875,0.9987968084089613,0.9982909572632868,0.9987968084089613,0.9985417699303056,0.9985878583001154,0.9999406775708474,2.04792812501546,0.0930296250153333,1.1628703126916662
LogisticRegression,agriedge,random_stratified,320000,80000,409,0.9859125,0.9846586142827084,0.9862327939660271,0.9846586142827084,0.9854256868779412,0.9859010796524954,0.9984433489238882,6.081997875007801,0.0754335419042036,0.9429192738025449
MLP,agriedge,leave_out_Modbus,320301,79699,409,0.783836685529304,0.8163897620840841,0.827620590615811,0.8163897620840841,0.7835169343325896,0.7820398988502807,0.6955671562910271,9.938959749997593,0.08613041590433568,1.0806963187033172
GaussianNB,agriedge,leave_out_Modbus,320301,79699,409,0.7725316503343831,0.8067845312747796,0.8217987786394205,0.8067845312747796,0.7719681180917756,0.7699556451738921,0.8067845312747796,1.3848579579498619,0.20601983403321356,2.584973889675072
HistGradientBoosting,agriedge,leave_out_Modbus,320301,79699,409,0.7014140704400306,0.7464257980884876,0.7896548891001873,0.7464257980884876,0.6969752573121333,0.6904642924617685,0.9938636382404162,11.701195917092264,0.08105254196561873,1.0169831737615118
GaussianNB,agriedge,random_stratified,320000,80000,409,0.636425,0.6914315751093653,0.7649087886811436,0.6914315751093653,0.6235695071825723,0.6111540089109793,0.6914315751093654,1.4399364580167457,0.20689366606529802,2.5861708258162253
DecisionTree,agriedge,leave_out_Modbus,320301,79699,409,0.6223792017465715,0.6793112266643935,0.7606527651858568,0.6793112266643935,0.6066301913957108,0.5926568580129852,0.6764423157013035,1.451786500052549,0.06614629202522337,0.829951342240472
RandomForest,agriedge,leave_out_Modbus,320301,79699,409,0.42103414095534447,0.5083127674326228,0.706376214758661,0.5083127674326228,0.30984286380186904,0.26066357713589455,0.9997507832097616,2.1776447080774233,0.08642854203935713,1.0844369695900467
LogisticRegression,agriedge,leave_out_Modbus,320301,79699,409,0.40136011744187505,0.4877316976715712,0.23424453101524095,0.4877316976715712,0.28738115630324224,0.2367854255775562,0.03840572980337715,6.200972208986059,0.0833324579289183,1.0455897555667988
