round,clients_sampled,accuracy,balanced_accuracy,f1_macro,mean_local_loss,scheme
0,5,0.8131333333333334,0.7879765516802588,0.797038802647396,0.4502540832504313,iid
1,5,0.9445666666666667,0.9412929858203196,0.9425378856997139,0.2297378107271296,iid
2,5,0.9625833333333333,0.9621178172064213,0.9613860961035712,0.132600691946263,iid
3,5,0.9787166666666667,0.9781907668709507,0.9780095763151995,0.08385675505913318,iid
4,5,0.9860666666666666,0.9856977331369162,0.9856011810724232,0.05813982048012474,iid
5,5,0.9917166666666667,0.9913481463123149,0.9914366921691957,0.043261308983919465,iid
6,5,0.9945,0.9941225192277898,0.9943129302806073,0.03416685284452235,iid
7,5,0.9952666666666666,0.9948590375522017,0.9951051220990523,0.028240403799498652,iid
8,5,0.9957166666666667,0.9953831885566613,0.9955710067218821,0.024211634903591368,iid
9,5,0.9960166666666667,0.9957119120133304,0.995881363006045,0.021391391100243053,iid
10,5,0.9961833333333333,0.9959090335383372,0.9960538880485185,0.0193284912832438,iid
11,5,0.99635,0.9961061550633439,0.9962263957164303,0.017870970426543436,iid
12,5,0.9964666666666666,0.99623606301779,0.9963470815460607,0.016691396938775607,iid
13,5,0.9966,0.9963925176050171,0.9964850589879756,0.015807555351366704,iid
14,5,0.9966833333333334,0.9964817586216836,0.9965712308685513,0.015027223224999345,iid
15,5,0.9967666666666667,0.9965709996383503,0.9966574016733005,0.014537832535743872,iid
16,5,0.9968166666666667,0.9966320000450195,0.996709152838809,0.013954941055024081,iid
17,5,0.9969,0.9967336673894686,0.9967954004463008,0.013552927151272825,iid
18,5,0.9969333333333333,0.9967743343272482,0.9968298979728276,0.013155253091827034,iid
19,5,0.9969833333333333,0.9968229084061351,0.9968815650082745,0.012900660900235611,iid
0,5,0.8770333333333333,0.8694144431827983,0.8719611687877371,0.38650632946146546,by_device
1,5,0.929,0.9335224998647689,0.9275121626536863,0.1752834173538283,by_device
2,5,0.9649166666666666,0.9671204707212404,0.9639689256957683,0.08721293941861326,by_device
3,5,0.9713666666666667,0.9741258934007127,0.9706108522052386,0.055583424648209125,by_device
4,5,0.9733,0.9763230335307573,0.9726048061368846,0.0410309978767287,by_device
5,5,0.9750166666666666,0.9779079013873271,0.9743576207589725,0.03266262388874158,by_device
6,5,0.9767666666666667,0.9795831414928062,0.9761481467419717,0.02715605060190409,by_device
7,5,0.9768666666666667,0.9796927159783626,0.9762510706694905,0.023290018850180054,by_device
8,5,0.9771,0.9799338923955812,0.9764906131843516,0.020522310126526225,by_device
9,5,0.97835,0.9810550469093874,0.9777671204422392,0.018404590650179426,by_device
10,5,0.9793166666666666,0.9819175167465439,0.9787546196515268,0.016930491776600873,by_device
11,5,0.9814166666666667,0.983696675176366,0.9808981947230748,0.015740452695906716,by_device
12,5,0.98395,0.9858429615361514,0.9834879309896886,0.014674679777601386,by_device
13,5,0.98565,0.987270806318225,0.985227842729818,0.013902302877117006,by_device
14,5,0.9870333333333333,0.9884552179608901,0.9866457282518599,0.01326159114802252,by_device
15,5,0.9883833333333333,0.9895989626657757,0.9880303900702594,0.012718163105464145,by_device
16,5,0.9894666666666667,0.9905105693267928,0.9891423333864287,0.012259899680709561,by_device
17,5,0.99055,0.9914346023155922,0.9902553669904683,0.01188905825074767,by_device
18,5,0.9921333333333333,0.9927760312904581,0.991883436090561,0.011574009378703445,by_device
19,5,0.9934166666666666,0.9938632947753494,0.9932043672778844,0.011249305808465834,by_device
0,3,0.9198833333333334,0.9245063549411707,0.9182562645840824,0.21639500733863926,by_farm
1,3,0.95455,0.9599717031155055,0.9536005132671408,0.06657509546277644,by_farm
2,3,0.9728,0.9760920324614271,0.9721057019647332,0.03654163416108317,by_farm
3,3,0.9747166666666667,0.9778960492891096,0.9740632956591456,0.02511470346852751,by_farm
4,3,0.97955,0.9820282167220473,0.9789893686487903,0.019167163068419323,by_farm
5,3,0.9854333333333334,0.9871183081726993,0.985006800119488,0.015785503974936017,by_farm
6,3,0.9896333333333334,0.9906890513601259,0.989314258811153,0.013727011326928917,by_farm
7,3,0.99335,0.9938254530470286,0.9931359679943434,0.012305597240937,by_farm
8,3,0.9953,0.9954775287318633,0.9951452592600496,0.011392888038361677,by_farm
9,3,0.9960666666666667,0.9961208495979073,0.9959359655112716,0.010667483893505768,by_farm
10,3,0.9966333333333334,0.9966071531317504,0.996520773330261,0.010139734828739111,by_farm
11,3,0.9967666666666667,0.9967201155717391,0.9966583987873777,0.009705491947043164,by_farm
12,3,0.9969,0.9968517175034015,0.9967961570383678,0.00940421815417544,by_farm
13,3,0.99695,0.9968940784183973,0.9968477732650967,0.009204549716340481,by_farm
14,3,0.997,0.996936439333393,0.9968993913969255,0.008991005296737459,by_farm
15,3,0.9970166666666667,0.9969505596383916,0.9969165978643808,0.008747340378408594,by_farm
16,3,0.9970833333333333,0.9970194671861683,0.9969855007054002,0.008588733159795562,by_farm
17,3,0.9971,0.9970398006550582,0.997002745017028,0.008470506020733752,by_farm
18,3,0.9971,0.9970398006550582,0.997002745017028,0.008346476682182798,by_farm
19,3,0.9971,0.9970398006550582,0.997002745017028,0.008372861579994333,by_farm
