model,protocol,metric,mean,std,ci_low,ci_high,n_folds
DecisionTree,readme,accuracy,1.0,0.0,1.0,1.0,15
DecisionTree,readme,balanced_accuracy,1.0,0.0,1.0,1.0,15
DecisionTree,readme,f1_macro,1.0,0.0,1.0,1.0,15
RandomForest,readme,accuracy,1.0,0.0,1.0,1.0,15
RandomForest,readme,balanced_accuracy,1.0,0.0,1.0,1.0,15
RandomForest,readme,f1_macro,1.0,0.0,1.0,1.0,15
HistGradientBoosting,readme,accuracy,1.0,0.0,1.0,1.0,15
HistGradientBoosting,readme,balanced_accuracy,1.0,0.0,1.0,1.0,15
HistGradientBoosting,readme,f1_macro,1.0,0.0,1.0,1.0,15
LogisticRegression,readme,accuracy,1.0,0.0,1.0,1.0,15
LogisticRegression,readme,balanced_accuracy,1.0,0.0,1.0,1.0,15
LogisticRegression,readme,f1_macro,1.0,0.0,1.0,1.0,15
GaussianNB,readme,accuracy,1.0,0.0,1.0,1.0,15
GaussianNB,readme,balanced_accuracy,1.0,0.0,1.0,1.0,15
GaussianNB,readme,f1_macro,1.0,0.0,1.0,1.0,15
MLP,readme,accuracy,0.999980288589645,2.7204268765476755e-05,0.9999665215831148,0.9999940555961753,15
MLP,readme,balanced_accuracy,0.9999546028710861,7.492823754077278e-05,0.9999166846478685,0.9999925210943036,15
MLP,readme,f1_macro,0.9999630243414651,5.103093920747202e-05,0.9999371995975851,0.9999888490853451,15
DecisionTree,clean,accuracy,0.9610480342574093,0.0009660495112967064,0.9605591547346707,0.9615369137801478,15
DecisionTree,clean,balanced_accuracy,0.9281169640221039,0.0027029965242837285,0.9267490841822992,0.9294848438619085,15
DecisionTree,clean,f1_macro,0.9271054574925034,0.0018567298517887718,0.9261658398091628,0.928045075175844,15
RandomForest,clean,accuracy,0.9658050594198024,0.0009122424598601953,0.9653434095217556,0.9662667093178493,15
RandomForest,clean,balanced_accuracy,0.9241778722537731,0.002551972304917563,0.9228864198096892,0.925469324697857,15
RandomForest,clean,f1_macro,0.9343113473882831,0.00181796588829107,0.9333913466166562,0.93523134815991,15
HistGradientBoosting,clean,accuracy,0.97520083998735,0.0010220537227644687,0.9746836189439609,0.975718061030739,15
HistGradientBoosting,clean,balanced_accuracy,0.9222927566833796,0.0029509155426348356,0.9207994148150226,0.9237860985517367,15
HistGradientBoosting,clean,f1_macro,0.9503245529840285,0.002147358917987698,0.9492378594029043,0.9514112465651527,15
LogisticRegression,clean,accuracy,0.8993249940277501,0.0016085077357537454,0.8985109917587348,0.9001389962967654,15
LogisticRegression,clean,balanced_accuracy,0.705612443413456,0.004245248427512493,0.7034640907660195,0.7077607960608925,15
LogisticRegression,clean,f1_macro,0.7566888502159232,0.004730056280076595,0.7542951554521563,0.7590825449796902,15
GaussianNB,clean,accuracy,0.8741644204085703,0.02463432464380256,0.8616979611494746,0.8866308796676661,15
GaussianNB,clean,balanced_accuracy,0.6612804190160275,0.003967475169761104,0.6592726364492039,0.6632882015828512,15
GaussianNB,clean,f1_macro,0.6995153584439932,0.017684835924188253,0.6905657610939335,0.7084649557940528,15
MLP,clean,accuracy,0.9095289451539746,0.0015681984460107538,0.9087353418252839,0.9103225484826654,15
MLP,clean,balanced_accuracy,0.7319417249491962,0.004237915959016435,0.7297970829746153,0.734086366923777,15
MLP,clean,f1_macro,0.7857786290964394,0.004488784459596294,0.7835070324767813,0.7880502257160974,15
