model,protocol,split,n_train,n_test,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc,fit_seconds,predict_seconds,predict_us_per_sample
DecisionTree,agriedge,lodo_Water_Level,319985,80015,409,0.9998500281197276,0.9998683177128848,0.9998216538621837,0.9998683177128848,0.9998449685548605,0.9998500316199453,0.9999831178376676,2.929029874969274,0.12093204190023243,1.511367142413703
HistGradientBoosting,agriedge,lodo_Water_Level,319985,80015,409,0.9998375304630381,0.999853062182755,0.9998110627017132,0.999853062182755,0.9998320484837688,0.9998375338760025,0.999998364648506,23.26263095799368,0.22146120795514435,2.767746147036735
MLP,agriedge,lodo_Water_Level,319985,80015,409,0.9998125351496594,0.9998225511224957,0.999789881724579,0.9998225511224957,0.9998062079795281,0.9998125382130286,0.9999982554958984,15.694323624949902,0.13498245796654373,1.6869644187532804
RandomForest,agriedge,lodo_Water_Level,319985,80015,409,0.9998000374929701,0.999807295592366,0.9997792919078583,0.999807295592366,0.9997932875463504,0.9998000402939716,0.9999982542041516,4.223460334003903,0.2054345840588212,2.567450903690823
DecisionTree,agriedge,lodo_Soil_Moisture,320260,79740,409,0.999648858791071,0.9997019056744384,0.9995732097673993,0.9997019056744384,0.9996374221637192,0.999648881402677,0.9999963846683627,2.3952902919845656,0.10388937499374151,1.3028514546493795
HistGradientBoosting,agriedge,lodo_Soil_Moisture,320260,79740,409,0.9996363180336092,0.9996866501443087,0.9995625444063869,0.9996866501443087,0.9996244712279315,0.9996363406180725,0.9999963612807727,19.089405208011158,0.14997516700532287,1.8808021946993088
MLP,agriedge,lodo_Soil_Moisture,320260,79740,409,0.9996363180336092,0.9996866501443087,0.9995625444063869,0.9996866501443087,0.9996244712279315,0.9996363406180725,0.9999950119467546,11.989921833970584,0.14696775004267693,1.843086907984411
RandomForest,agriedge,lodo_Soil_Moisture,320260,79740,409,0.9996237772761475,0.9996713946141791,0.9995518794984618,0.9996713946141791,0.9996115201728737,0.9996237997757722,0.9999960975207286,2.5294481250457466,0.12768029095605016,1.6012075615255852
DecisionTree,agriedge,lodo_phValue,319786,80214,409,0.9994265340214925,0.9995104511668917,0.9993038718880796,0.9995104511668917,0.9994068291222413,0.9994265933248828,0.9999775063014403,2.507283207960427,0.0984265839215368,1.2270499404285635
RandomForest,agriedge,lodo_phValue,319786,80214,409,0.9994265340214925,0.9995104511668917,0.9993038718880796,0.9995104511668917,0.9994068291222413,0.9994265933248828,0.9999922518024633,3.11105108296033,0.17423516605049372,2.1721291302078654
HistGradientBoosting,agriedge,lodo_phValue,319786,80214,409,0.9994265340214925,0.9995104511668917,0.9993038718880796,0.9995104511668917,0.9994068291222413,0.9994265933248828,0.9999927547567651,16.77898341603577,0.1579219161067158,1.9687575249546936
MLP,agriedge,lodo_phValue,319786,80214,409,0.999326800807839,0.9993978382837592,0.9992100228662668,0.9993978382837592,0.9993036558749797,0.9993268641145481,0.9999914613538228,19.913800874957815,0.12662987492512912,1.5786505463526206
LogisticRegression,agriedge,lodo_Water_Level,319985,80015,409,0.9905392738861464,0.9885029477662791,0.9920534568240975,0.9885029477662791,0.9901850884097436,0.9905221471542281,0.9985286144529677,14.769921708037145,0.26208045799285173,3.2753915889877114
LogisticRegression,agriedge,lodo_Soil_Moisture,320260,79740,409,0.9900050163029847,0.9879704030047206,0.9915031815138373,0.9879704030047206,0.9896418482847924,0.9899869928952102,0.9985094133832073,7.667723166989163,0.10374849999789149,1.3010847754939991
LogisticRegression,agriedge,lodo_phValue,319786,80214,409,0.990001745331239,0.9879772703888597,0.9914375683058606,0.9879772703888597,0.9896203557160097,0.9899840847299094,0.9984761230725961,8.392805084004067,0.12099908303935081,1.5084534250797967
HistGradientBoosting,agriedge,lodo_Temperature_and_Humidity,320099,79901,409,0.927460232037146,0.9385052837075075,0.924865831842576,0.9385052837075075,0.9266189932981356,0.9280301700536631,0.9993929146501874,19.910119875101373,0.16850729193538427,2.1089509760251346
DecisionTree,agriedge,lodo_Temperature_and_Humidity,320099,79901,409,0.9010150060700116,0.916086661291007,0.9027996263887523,0.916086661291007,0.9003673586264876,0.9018101385802308,0.9179843549077399,2.4613067080499604,0.10432100004982203,1.3056282155395056
MLP,agriedge,lodo_Temperature_and_Humidity,320099,79901,409,0.8963091826134841,0.9120927103485785,0.8991054480925558,0.9120927103485785,0.8957076778761874,0.8971302544228164,0.8775281133626447,19.63698175002355,0.15201245807111263,1.9025100821155259
RandomForest,agriedge,lodo_Temperature_and_Humidity,320099,79901,409,0.8959712644397442,0.911806244278893,0.8988431488952637,0.911806244278893,0.8953731886371039,0.8967939775534574,0.9959319228361392,3.869431333965622,0.2169560840120539,2.715311247819851
LogisticRegression,agriedge,lodo_Temperature_and_Humidity,320099,79901,409,0.8950951802856034,0.9105989868989097,0.8976045658804781,0.9105989868989097,0.8944656735140173,0.8959296261439044,0.8674486623053448,4.083288166904822,0.1644400410586968,2.0580473468254064
MLP,agriedge,lodo_Modbus,320301,79699,409,0.783836685529304,0.8163897620840841,0.827620590615811,0.8163897620840841,0.7835169343325896,0.7820398988502807,0.6955671562910271,10.134927083039656,0.08831916598137468,1.1081590230915654
GaussianNB,agriedge,lodo_Modbus,320301,79699,409,0.7725316503343831,0.8067845312747796,0.8217987786394205,0.8067845312747796,0.7719681180917756,0.7699556451738921,0.8067845312747796,1.9779534169938415,0.22804295900277793,2.8613026387128815
